"Year","Piemonte","Valle.d.Aosta","Lombardia","Trentino.Alto.Adige","Veneto","Friuli.Venezia.Giulia","Liguria","Emilia.Romagna","Umbria","Toscana","Marche","Lazio","Abruzzo","Molise","Campania","Puglia","Basilicata","Calabria","Sicilia","Sardegna","Totale"
1963,2229,4485,2057,3384,1572,1398,1540,1125,2115,1483,572,857,481,224,623,455,170,372,575,477,1226
1964,2235,5138,2124,3200,1668,1482,1712,1209,2145,1531,584,903,584,251,702,608,212,425,698,530,1300
1965,2327,5384,2239,3384,1796,1544,1703,1294,2158,1584,633,960,653,288,738,832,497,457,774,759,1395
1966,2514,6072,2423,3608,1886,1663,1791,1435,2243,1607,708,1034,746,337,788,888,816,492,865,1004,1507
1967,2664,6292,2599,3679,1938,1771,1944,1636,2331,1747,756,1093,798,369,846,971,943,574,976,1095,1622
1968,2784,6107,2735,3923,2063,1961,2063,1734,2397,1864,834,1173,911,413,912,1065,990,644,1127,1311,1739
1969,2904,6317,2867,4067,2184,2086,2041,1840,2404,1962,926,1217,1035,468,963,1133,1162,674,1203,1663,1843
1970,3036,7666,3002,4265,2299,2214,2118,1943,2588,2080,1010,1360,1150,531,1052,1230,1259,756,1340,2006,1968
1971,3056,6731,3030,4182,2378,2334,2157,2027,2749,2150,1048,1427,1180,604,1066,1394,1401,795,1472,2147,2035
1972,3199,5689,3195,4206,2539,2548,2197,2127,2871,2250,1151,1513,1267,607,1150,1534,1497,878,1616,2264,2155
1973,3294,5807,3302,4322,2773,2683,2301,2243,2866,2375,1280,1656,1374,697,1261,1754,1565,940,1695,2836,2291
1974,3315,6047,3393,4851,2691,2741,2368,2292,2927,2390,1344,1677,1380,803,1307,2001,1628,1033,1751,3243,2363
1975,3089,5481,3237,4461,2615,2702,2281,2290,2985,2363,1373,1671,1382,1067,1288,2010,1720,1031,1700,3436,2304
1976,3402,6275,3473,4543,2958,3025,2396,2532,3423,2584,1519,1809,1609,1261,1357,2216,1982,1156,1816,3792,2512
1977,3469,5933,3552,4827,3041,3255,2420,2661,3484,2685,1588,1857,1684,1333,1398,2206,2018,1182,1871,4180,2589
1978,3573,6017,3720,4877,3148,3427,2529,2777,3684,2776,1711,1958,1835,1410,1453,2221,1592,1225,1935,4149,2679
1979,3729,6175,3928,5091,3349,3628,2628,2941,3932,2995,1889,2031,2003,1541,1504,2314,1455,1299,2020,4101,2811
1980,3749,6524,3967,4923,3498,3705,2709,3015,3954,3023,1976,2065,1999,1660,1579,2438,1555,1332,2036,4218,2867
1981,3634,6366,3961,4962,3531,3662,2816,3166,3818,3061,2016,2163,2141,1552,1593,2519,1531,1394,2018,4247,2898
1982,3656,6685,3949,4719,3503,3817,2789,3153,3994,3145,2094,2205,2229,1708,1676,2450,1597,1488,2086,3964,2915
1983,3543,6641,3896,4125,3509,3717,2732,3156,3978,3158,2096,2218,2304,1733,1672,2533,1561,1477,2165,3838,2891
1984,3728,7014,4146,4181,3677,3866,2807,3282,4112,3334,2223,2307,2455,1705,1785,2703,1701,1660,2202,4350,3044
1985,3847,6881,4249,4138,3777,3935,2801,3355,4253,3416,2275,2386,2512,1771,1861,2648,1793,1625,2189,4525,3106
1986,3942,7022,4365,4197,3910,4013,2859,3487,4288,3542,2412,2464,2611,1884,1902,2660,1816,1673,2291,4746,3197
1987,4174,6964,4548,4142,4138,4210,2997,3693,4434,3660,2549,2637,2775,2044,1995,2773,1958,1742,2476,5051,3360
1988,4390,6282,4832,4437,4395,4541,3040,3877,4590,3880,2659,2731,2884,2130,2094,2807,2099,1813,2584,5269,3525
1989,4542,6408,5097,4711,4578,4785,3074,4063,4742,4007,2772,2840,3026,2323,2193,2866,2252,1916,2735,5264,3673
1990,4771,6867,5366,4791,4729,5107,3288,4300,5092,4198,3015,3038,3249,2462,2269,3002,2326,2025,2800,5510,3855
1991,4777,6791,5427,4612,4920,5295,3361,4378,5121,4245,3134,3175,3454,2598,2274,3130,2567,2084,2909,5684,3940
1992,4865,6800,5463,4600,4891,5628,3406,4498,5281,4324,3306,3245,3611,2828,2299,3234,2731,2122,3015,5642,4010
1993,4844,6308,5365,4576,4890,5748,3450,4499,5231,4290,3281,3250,3685,2822,2350,3241,2783,2120,3085,5489,4012
1994,5113,6570,5556,4781,5075,5985,3475,4715,5522,4441,3426,3266,3878,2945,2329,3270,3128,2143,3050,5842,4135
1995,5283,6693,5759,4965,5247,6227,3454,4963,5635,4589,3514,3291,3957,3071,2360,3387,3413,2168,3050,5842,4249
1996,5356,6329,5702,5007,5355,6361,3578,5098,5730,4663,3625,3333,4085,3134,2370,3405,3407,2192,2981,5972,4285
1997,5511,6887,5868,5247,5502,6733,3643,5243,5946,4847,3715,3434,4274,3334,2413,3494,3593,2243,3042,5991,4410
1998,5654,7042,6071,5331,5712,7023,3736,5441,6113,4941,3888,3520,4396,3494,2443,3585,3611,2275,3082,5914,4529
1999,5646,7137,6175,5350,5844,7048,3748,5576,6292,5132,4046,3603,4550,3597,2514,3714,3784,2166,3294,6142,4638
2000,5850,6808,6550,5503,6122,7307,3849,5800,6452,5249,4337,3726,4772,3834,2539,3854,3884,2238,3420,6488,4835
2001,5962,7262,6631,5794,6204,7603,3938,5898,6552,5339,4495,3766,4917,4041,2594,3879,4047,2285,3497,6660,4928
2002,6016,7350,6616,5943,6311,7916,4009,6146,6662,5509,4616,3815,5015,4243,2667,3912,4226,2376,3590,6817,5017
2003,6204,7725,6884,6204,6393,7935,4119,6370,6598,5745,4776,4106,5160,4493,2794,4059,4435,2499,3691,7013,5208
2004,6215,7806,6819,6254,6347,8120,4134,6419,6603,5747,4916,4167,5236,4642,2812,4150,4514,2585,3688,7164,5236
2005,6093,7854,6837,6324,6452,8089,4108,6477,6452,5788,4893,4242,5245,4610,2876,4331,4701,2679,3745,7286,5286
2006,6213,7968,7013,6248,6562,8297,4081,6553,6664,5879,5029,4301,5290,4725,2958,4426,5099,2763,3823,7377,5394
2007,6185,7830,7029,6276,6543,8394,4019,6530,7066,5701,5030,4218,5229,4752,2995,4445,4959,2752,3798,7099,5372
2008,6023,7612,6975,6254,6491,8320,4074,6462,6596,5648,4738,4205,5194,4747,3006,4508,4774,2813,3788,7154,5332
2009,5532,6449,6393,6112,5939,7306,3987,5986,5978,5349,4710,4089,4677,4472,2945,4025,4575,2763,3685,6726,4983
2010,5715,7449,6678,6371,6043,7873,4055,6188,6168,5419,4730,4075,4737,4414,2995,4288,4567,2761,3783,6679,5125
2011,5701,7490,6674,6406,6060,8118,4029,6242,6022,5400,4768,4077,4913,4403,3014,4597,4497,2819,3836,6728,5168
2012,5671,7602,6744,5839,6103,7964,4110,6220,6107,5437,4763,4184,4866,4192,3000,4585,4506,2822,3824,6431,5168
2013,5535,7373,6572,5987,5913,7827,3878,6123,5915,5346,4379,3952,4758,4142,2886,4188,4243,2670,3611,5246,4967
2014,5390,6931,6374,5932,5755,7726,3745,5948,5575,5075,4321,3659,4499,4015,2774,4174,4183,2583,3429,5040,4790
